company,ticker,region,industry,segment,sub_bucket,included,upside_to_pt,downside_to_bear,upside_to_bull,bull_bear_skew,prob_3m_base,prob_3m_bull,prob_12m_base,prob_12m_bull
Solaredge Technologies Inc,SEDG.O,North America,Clean Tech,,,False,-0.0712074303405573,-0.662257247396566,0.829439909935266,1.252443688907778,0.3283,0.0,0.20629999999999998,0.0
Southern Company,SO.N,North America,Regulated Utilities,,,False,-0.104791995787257,-0.389152185360716,0.0215903106898367,0.0554803788903923,0.8361,0.2852,0.6989,0.4108
Spire Inc,SR.N,North America,Regulated Utilities,,,False,0.0126306620209058,-0.22691637630662,0.143292682926829,0.6314779270633392,,,,
Sunrun Inc,RUN.O,North America,Clean Tech,,,False,0.100052383446831,-0.685699319015191,0.885804085908853,1.2918258212375866,0.2644,0.0,0.19219999999999998,0.0
Talen Energy Corp,TLN.O,North America,Diversified Utilities / IPPs,Power Supply,Behind Fence,True,0.255641093708521,-0.354924342978498,0.794531457393151,2.2385938668661147,,,,
Vistra Corp,VST.N,North America,Diversified Utilities / IPPs,Power Supply,Behind Fence,True,0.323692343576885,-0.160300892180302,1.0234416000933,6.384503455802113,0.08439999999999999,0.0,0.1588,0.0
Xcel Energy Inc,XEL.O,North America,Regulated Utilities,,,False,0.0295379335702903,-0.227846549822282,0.360460840789312,1.5820333512641196,0.3018,0.0014000000000000002,0.4228,0.0635
Asana Inc,ASAN.N,North America,Software,,,False,0.851851851851852,-0.0740740740740741,2.17460317460317,29.357142857142787,,,,
Box Inc,BOX.N,North America,Software,,,False,0.638637343682622,0.0780508840017249,1.32858990944373,-17.022099447513863,,,,
CCC Intelligent Solutions Holdings Inc,CCCS.O,North America,Software,,,False,,,,,,,,
Commerce.com Inc.,CMRC.O,North America,Software,,,False,0.444043321299639,-0.63898916967509,1.16606498194946,1.82485875706215,,,,
"Coursera, Inc.",COUR.N,North America,Software,,,False,,,,,,,,
DigitalOcean Holdings Inc,DOCN.N,North America,Software,Owners/Operators,Enterprises/Tier 2 Clouds,True,-0.178403755868545,-0.633215962441315,0.437793427230047,0.6913809082483777,0.4296,0.0038,0.33240000000000003,0.014199999999999999
Docebo Inc.,DCBO.O,North America,Software,,,False,0.477572559366755,-0.155672823218997,1.32189973614776,8.49152542372885,,,,
DocuSign Inc,DOCU.O,North America,Software,,,False,1.00803212851406,0.115573404730031,1.90049085229808,-16.444015444015466,0.0416,0.0,0.1534,0.0
Lightspeed POS Inc.,LSPD.N,North America,Software,,,False,0.50166852057842,-0.332591768631813,1.66963292547275,5.020066889632116,,,,
monday.com Ltd,MNDY.O,North America,Software,,,False,0.588836695219674,-0.171041724233214,1.48687482730036,8.693053311793198,,,,
Sabre Corp,SABR.O,North America,Software,,,False,1.36717517096265,-0.473961073119411,4.26038926880589,8.9889012208657,,,,
ServiceTitan Inc,TTAN.O,North America,Software,,,False,1.08798214854957,0.115715651896717,2.18775900541919,-18.906336088154205,,,,
"Toast, Inc.",TOST.N,North America,Software,,,False,0.866081229418222,-0.268203439443835,1.92718624222466,7.18553888130967,,,,
Udemy Inc,UDMY.O,North America,Software,,,False,,,,,,,,
Appen Ltd,APX.AX,Asia/Pacific,"Australia Media, Internet and Technology",,,False,-0.664516129032258,-0.870967741935484,-0.0322580645161291,-0.03703703703703711,,,,
Megaport Ltd,MP1.AX,Asia/Pacific,"Australia Media, Internet and Technology",,,False,0.0073260073260073,-0.67948717948718,0.648351648351648,0.9541778975741229,,,,
Pro Medicus Ltd,PME.AX,Asia/Pacific,"Australia Media, Internet and Technology",,,False,1.18323277230867,-0.364877738964751,1.77865989202922,4.874673629242828,,,,
Technology One Ltd.,TNE.AX,Asia/Pacific,"Australia Media, Internet and Technology",,,False,0.680478821362799,-0.30939226519337,1.07182320441989,3.4642857142857184,,,,
AGCO Corp,AGCO.N,North America,Machinery & Construction,,,False,-0.273969677557122,-0.380738842622251,0.103281372339668,0.2712656571321732,,,,
Allison Transmission Holdings Inc,ALSN.N,North America,Machinery & Construction,,,False,-0.0746243314373037,-0.482129213006197,0.298921810000849,0.6200035217467871,,,,
Caterpillar Inc,CAT.N,North America,Machinery & Construction,Power Supply,Generator or Wind and/or Grid Connection,True,-0.451046241281323,-0.58021183156807,-0.0700077499354173,-0.12065894924309906,0.9808,0.41229999999999994,0.8490000000000001,0.4318
CNH Industrial NV,CNH.N,North America,Machinery & Construction,,,False,0.176470588235294,-0.333333333333333,0.725490196078431,2.1764705882352953,,,,
Cummins Inc,CMI.N,North America,Machinery & Construction,Power Supply,Generator or Wind and/or Grid Connection,True,0.123109432455367,-0.401008302690471,0.331092660687842,0.8256503879507072,0.2685,0.0055000000000000005,0.38049999999999995,0.0789
Deere & Co.,DE.N,North America,Machinery & Construction,,,False,-0.0711868904663968,-0.378026935580176,0.111258541763418,0.29431379431379456,0.11939999999999999,0.0060999999999999995,0.31739999999999996,0.092
Donaldson Company Inc.,DCI.N,North America,Machinery & Construction,,,False,-0.150374566051526,-0.43358304403435,0.0597478530970219,0.13780025284450115,,,,
Kennametal Inc.,KMT.N,North America,Machinery & Construction,,,False,-0.0906794645112403,-0.494821924728467,0.262945188178833,0.5313935681470136,,,,
Lincoln Electric Holdings Inc,LECO.O,North America,Machinery & Construction,,,False,-0.182783982566058,-0.383682920185236,0.0453554889675838,0.11821086261980829,0.9186,0.0799,0.7779,0.2701
Martin Marietta Materials Inc,MLM.N,North America,Machinery & Construction,,,False,0.039978787968064,-0.282620864390301,0.178446218660696,0.6313978942979269,,,,
Oshkosh Corp,OSK.N,North America,Machinery & Construction,,,False,-0.158288519990648,-0.532382511105915,0.239186345569324,0.44927536231884035,,,,
PACCAR Inc,PCAR.O,North America,Machinery & Construction,,,False,-0.141732283464567,-0.31496062992126,0.18897637795275601,0.6000000000000001,0.9362,0.2644,0.7862,0.40490000000000004
REV Group Inc.,REVG.N,North America,Machinery & Construction,,,False,,,,,,,,
Terex Corp.,TEX.N,North America,Machinery & Construction,,,False,0.198902210024556,-0.34999277769753,0.473349703885599,1.3524556335121756,,,,
Timken Co,TKR.N,North America,Machinery & Construction,,,False,0.07566765578635,-0.332344213649852,0.353857566765579,1.0647321428571428,,,,
United Rentals Inc.,URI.N,North America,Machinery & Construction,,,False,0.167243580160309,-0.344503605230171,0.673240797175615,1.9542344026437894,,,,
Vulcan Materials Company,VMC.N,North America,Machinery & Construction,,,False,-0.0202960476117808,-0.417060888142835,0.107889516252098,0.25869008415660405,,,,
Westinghouse Air Brake Technologies Corp,WAB.N,North America,Machinery & Construction,,,False,0.230180426462548,-0.257986409435289,0.562133874873077,2.178928247048136,,,,
WillScot Holdings Corporation,WSC.O,North America,Machinery & Construction,,,False,-0.0286771507863091,-0.444958371877891,0.711378353376503,1.5987525987525977,,,,
ACM Research Inc,ACMR.O,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Capital Equipment,True,-0.105490438001234,-0.691548426896977,0.418877236273905,0.6057091882247994,,,,
Advanced Micro-Fabrication Equipment Inc,688012.SS,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Capital Equipment,True,0.161103047895501,-0.41944847605225,1.2322206095791,2.9377162629757754,,,,
Advanced Wireless Semiconductor Co,8086.TWO,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.234234234234234,-0.621621621621622,0.0810810810810811,0.1304347826086956,,,,
Alchip Technologies Ltd,3661.TW,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Design Services,True,0.298224852071006,-0.455621301775148,0.517751479289941,1.1363636363636367,,,,
Andes Technology Corp,6533.TW,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Design Services,True,1.69696264573991,,,,,,,
ASE Technology Holding Co. Ltd.,3711.TW,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,OSAT,True,-0.0465444287729196,-0.393511988716502,0.128349788434415,0.32616487455197224,,,,
Global Unichip Corp,3443.TW,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Design Services,True,0.328484848484848,-0.181818181818182,0.806060606060606,4.433333333333329,,,,
GlobalWafers Co Ltd,6488.TWO,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.31986531986532,-0.326599326599327,0.683501683501684,2.0927835051546384,,,,
Gudeng Precision,3680.TWO,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Capital Equipment,True,0.222929936305732,-0.388535031847134,0.528662420382166,1.3606557377049182,,,,
Hua Hong Semiconductor Ltd,1347.HK,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.399399399399399,-0.67967967967968,-0.189189189189189,-0.2783505154639171,,,,
King Yuan Electronics Co Ltd,2449.TW,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,OSAT,True,0.110047846889952,-0.298245614035088,0.355661881977671,1.1925133689839547,,,,
Maxscend Microelectronics Co Ltd,300782.SZ,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.350912778904665,-0.594320486815416,0.0818120351588911,0.1376564277588167,,,,
MediaTek,2454.TW,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.125606469002695,-0.425876010781671,0.544474393530997,1.2784810126582278,,,,
Nanya Technology Corp.,2408.TW,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.251798561151079,-0.298561151079137,1.64388489208633,5.506024096385533,,,,
NAURA Technology Group Co Ltd,002371.SZ,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Semi Capital Equipment,False,0.131407882827285,-0.36641158561672,0.604542088373241,1.6498989445317764,,,,
OmniVision Integrated Circuits Group Inc,603501.SS,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.122431359005353,-0.438784320497323,0.68364703850803,1.5580480125934693,,,,
Phison Electronics Corp,8299.TWO,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.460916442048518,-0.730458221024259,-0.258760107816712,-0.35424354243542483,,,,
SG Micro Corp.,300661.SZ,Asia/Pacific,Greater China Technology Semiconductors,,,False,0.136202243999432,-0.332481181650334,0.917341286749041,2.7590773173857297,,,,
Silergy Corp.,6415.TW,Asia/Pacific,Greater China Technology Semiconductors,,,False,-0.0785714285714286,-0.496428571428571,0.403571428571428,0.8129496402877694,,,,
SMIC,0981.HK,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Foundry,True,0.144492131616595,-0.213161659513591,0.859799713876967,4.033557046979862,,,,
TSMC,2330.TW,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Foundry,True,0.0903394255874674,-0.39686684073107,0.315926892950392,0.7960526315789493,,,,
UMC,2303.TW,Asia/Pacific,Greater China Technology Semiconductors,Semi Production,Foundry,True,-0.164012738853503,-0.570063694267516,0.194267515923567,0.3407821229050281,,,,
